[2.08118217,1.41268417];[-1.19361794e-03,4.48703672e-04,2.77769930e-01,9.60646779e-01];[[1.29217548, 3.44074305], [3.87192133, -0.58082807], [4.90277386, 2.06135774], [0.2962203, 1.0645684], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[37.68198081047305], [37.72200829400593], [37.78302606594336], [37.53560580082817], [0], [0], [0], [0], [0], [0]];[4.90277386,2.06135774]
[5.16326854,2.05332018];[-9.27471557e-04,-6.36524790e-05,2.21147913e-01,9.75239835e-01];[[8.20000012, 1.50000002], [4.00000006, -1.80000003], [1.00000002, 2.80000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[73.79871382207168], [75.4091100607314], [75.33426009546768], [0], [0], [0], [0], [0], [0], [0]];[4.00000006,-1.80000003]
[4.06897084,-1.56237193];[-0.00203186,-0.00212501,-0.8072641,,0.59018307];[[8.60000014, 2.00000022], [5.6000001, -2.59999985], [1.79243636, 4.51570606], [0.50000004, 1.20000021], [0.29999999, -0.79999982], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[86.2812925856078], [101.40354346918684], [147.69509698579168], [93.23318686349813], [0.0], [0], [0], [0], [0], [0]];[1.79243636,4.51570606]
[1.87563179,4.28969363];[3.78578521e-05,1.83396182e-03,8.16360251e-01,5.77540089e-01];[[8.61754739, 2.2070059], [-0.80569835, -3.41876505], [5.60000009, -2.59999975], [-1.30000001, 1.0000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[12.286514903310035], [41.094050931816916], [12.286514903310039], [42.522239980459375], [0], [0], [0], [0], [0], [0]];[-1.30000001,1.0000003]
[-1.12857035,1.17400415];[0.00176349,0.00295616,0.92215569,-0.38680361];[[-1.85, -0.87499973], [8.67930238, 2.43605015], [5.59159643, -2.26671483], [-0.89999998, -3.69999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[34.06406118256235], [13.167621239769032], [13.741879568248214], [14.664585191835457], [0], [0], [0], [0], [0], [0]];[-1.85,,,,-0.87499973]
[-1.76267248,-0.64758113];[-0.00139697,-0.00264651,-0.82567727,0.56413484];[[-2.85731888, 0.00115978569], [8.60000042, 2.00000032], [6.2129879, -4.01369381], [5.60000037, -2.59999975], [-1.29999973, -3.39999976], [-1.79999974, -1.49999973], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[15.98217321594517], [14.045628812161839], [14.643590116232374], [75.59424364349823], [0.0], [33.956928558167675], [0], [0], [0], [0]];[5.60000037,-2.59999975]
[5.4610464,-2.52445849];[-1.40650541e-04,1.93871419e-04,-2.49761798e-01,9.68307279e-01];[[-1.90000012, -1.59999974], [-3.10000014, -0.39999972], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[75.91573177393383], [67.62187089431939], [0], [0], [0], [0], [0], [0], [0], [0]];[-1.90000012,-1.59999974]
[-2.16841767,-1.59734614];[-0.00198349,0.00192198,0.9879041,,0.15504154];[[-3.73556044, -0.34423059], [8.80000005, 1.50000031], [-4.80000016, -3.89999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.5638395662174759], [0.848161462412081], [0.6782667840641055], [0], [0], [0], [0], [0], [0], [0]];[8.80000005,1.50000031]
[8.8769451,1.55445908];[-0.00166351,-0.00319727,0.0310334,,0.99951185];[[-3.40000014, -0.29999972], [-3.60000014, 1.60000031], [-4.80000016, -3.89999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2.0591574702041044], [0.5633127341570178], [1.1912828301597942], [0], [0], [0], [0], [0], [0], [0]];[-3.40000014,-0.29999972]
[-3.14415482,-0.29457958];[1.71524927e-03,3.51073685e-04,9.99939693e-01,1.08413217e-02];[[-4.19999956, 0.20000029], [-4.79999957, -3.79999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[20.25312869284926], [23.975266776299303], [0], [0], [0], [0], [0], [0], [0], [0]];[-4.79999957,-3.79999977]
[-4.71415211,-3.69701546];[4.48895864e-04,2.63785089e-03,9.05453340e-01,-4.24437386e-01];[[-5.19664338, 0.1328019], [-8.29999978, -2.19999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[30.033021883392287], [26.02862324861285], [0], [0], [0], [0], [0], [0], [0], [0]];[-5.19664338,0.1328019]
[-5.16882406,0.32498687];[-0.00717132,0.00202897,0.80958645,0.58695337];[[-8.20000036, -2.19999975], [-8.30000036, 2.87592411e-07], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[17.795984481119635], [0.0], [0], [0], [0], [0], [0], [0], [0], [0]];[-8.20000036,-2.19999975]
