[0.17035161,0.22596432];[8.48693109e-05,6.48729318e-04,2.97919832e-01,9.54590671e-01];[[3.40000005, 1.10000001], [2.30000004, -1.30000002], [2.10000003, 2.20000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9.193761667255627], [9.759150975562711], [9.800574447050744], [0], [0], [0], [0], [0], [0], [0]];[2.10000003,2.20000003]
[1.91574391,2.02454829];[5.48941540e-04,1.54305704e-03,3.93729047e-01,9.19225085e-01];[[3.90781599, 1.02371653], [3.11284781, -0.86478867], [0.50000001, 3.00000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[73.45858098166353], [68.58683098583093], [75.35604040227834], [0], [0], [0], [0], [0], [0], [0]];[0.50000001,3.00000004]
[0.70408178,2.85862353];[-0.00151796,-0.00287061,0.9517317,0.30691404];[[3.70658481, -2.43706477], [-0.3053408, 0.55956972], [-0.59999992, 4.20000006], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[192.40435257800766], [1858.6354477788282], [51.2882057668634], [0], [0], [0], [0], [0], [0], [0]];[-0.3053408,0.55956972]
[-0.21116003,0.78289315];[0.0030673,0.00406004,-0.83764805,0.54618663];[[0.36663724, -0.47333427], [-1.23659934, 1.79930813], [3.33306336, -2.42075932], [4.01699638, 1.47319198], [2.50000005, -0.80000001], [-0.6, 4.20000006], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[4.41766472901395], [4.417664729013949], [4.062459075422316], [4.062459075422318], [4.06245907542232], [4.062459075422316], [0], [0], [0], [0]];[0.36663724,-0.47333427]
[0.25507238,-0.25822292];[0.00344896,0.00257233,-0.53266552,0.84631491];[[3.01694548, -1.80875873], [-1.76666652, -1.43333337], [4.01827288, 1.47497952], [-0.99999985, 4.80000005], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[4.178300807707218], [118.0162098045014], [4.1783008077072195], [4.17830080770722], [0], [0], [0], [0], [0], [0]];[-1.76666652,-1.43333337]
[-1.84044698,-1.45000535];[-0.00176203,-0.00390887,0.9242215,-0.38183275];[[-3.66928029, 0.06907519], [3.50000025, -0.99999983], [-0.99999982, 4.80000025], [-3.59999986, -4.29999988], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[6.555256899642349], [27.049039187713323], [5.79627758820283], [6.151159186345029], [0], [0], [0], [0], [0], [0]];[3.50000025,-0.99999983]
[3.58880961,-0.96141817];[-6.50777031e-04,-1.40897232e-03,-7.31155625e-02,9.97322267e-01];[[4.81442443, -3.28030508], [-3.34999975, -4.65000017], [-4.55758498, 0.20625655], [8.50000043, 0.39999991], [-1.09999971, -2.90000014], [-3.89999976, 1.89999993], [-4.39999976, -3.30000015], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.21634150149083942], [0.6841254929200211], [0.26814921276381914], [0.20569040412733144], [1.0330497682737958], [2.3314091168433495], [1.3811609949183408], [0], [0], [0]];[-3.89999976,1.89999993]
[-3.98682837,1.89902821];[0.00296712,-0.001981,0.95691605,0.2903428];[[-5.03692587, -3.84499554], [3.47813525, -4.60353058], [5.20000039, -2.59999974], [-3.29999973, -4.69999977], [-4.19999975, 0.2000003], [-7.29999979, 2.50000033], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[25.319739713169096], [24.367630900933914], [47.61368441091039], [25.319739713169117], [42.2869407628127], [26.333609753393066], [0], [0], [0], [0]];[5.20000039,-2.59999974]
[5.00206397,-2.4708778];[-3.81886481e-04,1.21593362e-03,-3.31797882e-01,9.43349629e-01];[[-0.90000025, -3.64999985], [2.69999981, -4.19999986], [1.91771901, -2.90692115], [-3.30000028, -4.69999986], [-4.3000003, 0.20000021], [-4.4000003, -3.29999984], [-8.60000036, 2.40000024], [-8.70000036, -1.19999981], [0.0, 0.0], [0.0, 0.0]];[[52.39257675470891], [47.56278291478666], [84.46466026163247], [38.58631513379537], [38.58631513379541], [38.58631513379541], [107.34497971422735], [0.0], [0], [0]];[-8.60000036,2.40000024]
[-7.9975194,2.32886315];[3.85197852e-03,4.15235023e-05,8.41759526e-01,5.39838930e-01];[[-1.16345495, -3.67127645], [8.8500092, 2.5504509], [2.69999981, -4.20000005], [-1.60000025, 5.20000009], [-4.50000029, -3.40000004], [-7.90000034, -2.70000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[11.3940901716451], [10.214348485445573], [5.3682770762552545], [2.9049205941512257], [6.167021317800256], [21.34808729118102], [0], [0], [0], [0]];[-7.90000034,-2.70000003]
[-7.91524443,-2.46984171];[-1.95904787e-03,-1.51269419e-04,-7.06957503e-01,7.07253308e-01];[[-0.90000024, -3.65000004], [-1.60067164, 5.37677922], [2.69999981, -4.20000005], [-3.49862671, -4.90310621], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[7.635790619261594], [3.8237641172325887], [2.7568518864812974], [2.8741304831996506], [0], [0], [0], [0], [0], [0]];[-0.90000024,-3.65000004]
[-0.97057985,-3.591511];[-1.78197209e-03,1.57012252e-04,-2.07852671e-01,9.78158509e-01];[[8.5999999, 2.40000005], [2.49999981, -4.10000005], [-2.26497651e-07, -4.20000005], [-1.80000025, -4.40000005], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2.485980316579828], [3.284412816604603], [2.6439212244983534], [3.20265569688372], [0], [0], [0], [0], [0], [0]];[2.49999981,-4.10000005]
[2.2598781,-4.05900728];[3.29658457e-04,1.92623525e-03,-8.72949973e-02,9.96180594e-01];[[-1.37232285, -4.20325054], [8.5999999, 2.40000005], [-1.60000025, 5.20000009], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[3.0205546380220207], [2.605805032939339], [4.66285696814498], [0], [0], [0], [0], [0], [0], [0]];[-1.60000025,5.20000009]
[-1.46606641,4.99241188];[3.32780991e-03,-6.27065032e-04,8.84988929e-01,4.65599762e-01];[[-1.15000024, -4.05000005], [8.5999999, 2.40000005], [-8.9316206, -4.80070591], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[4.3718941927013075], [2.8774441179324444], [2.988807449653804], [0], [0], [0], [0], [0], [0], [0]];[-1.15000024,-4.05000005]
