[0.15811225,0.20694205];[-7.87872952e-04,2.99866856e-04,2.75823656e-01,9.61207887e-01];[[3.20000005, 1.20000001], [2.30000004, -1.30000002], [1.70000003, 1.90000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[85.1812184991755], [84.19491084479706], [87.10406213995643], [0], [0], [0], [0], [0], [0], [0]];[1.70000003,1.90000003]
[1.52623356,1.72346985];[8.49713244e-04,5.53517844e-04,3.72338573e-01,9.28096411e-01];[[3.79359592, 0.52610431], [2.21442547, -0.92165313], [0.40000001, 3.00000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[54.299243113894775], [0.0], [54.332927749786315], [0], [0], [0], [0], [0], [0], [0]];[0.40000001,3.00000004]
[0.56722797,2.80520889];[-2.29505711e-03,3.78725330e-04,9.04880854e-01,4.25658560e-01];[[2.64950272, -1.22619349], [3.49582076, 0.90194246], [0.50995858, 3.40321221], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[3381.552045616479], [48.45306932513189], [52.71998090930159], [0], [0], [0], [0], [0], [0], [0]];[2.64950272,-1.22619349]
[2.63859618,-1.13275607];[-0.00195515,-0.00149532,-0.62294569,0.78226122];[[4.70432262, -2.19764731], [-2.74999978, -0.84999992], [4.10000032, 0.30000009], [0.45000026, -4.34999997], [-0.49999975, 4.00000015], [-1.79999977, 1.90000012], [8.50000038, -5.3999998], [-0.69999975, -2.19999975], [0.0, 0.0], [0.0, 0.0]];[[214.0417764911513], [606.460726008877], [213.3037554995692], [201.1563405663783], [189.10429718377532], [1499.4782022252593], [185.55359241981336], [894.9625203385643], [0], [0]];[-1.79999977,1.90000012]
[-1.58247623,1.77214082];[-7.15018568e-04,7.55054784e-04,9.64447728e-01,2.64271654e-01];[[-2.28270716, -1.70478389], [-0.90863869, -3.4112634], [5.00630808, 2.40049124], [4.90000033, -2.39999975], [4.10000032, 0.30000029], [-2.67096782, 0.42727605], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[464.54382192360896], [462.24004248838946], [440.9134805445851], [1185.575631353836], [465.2264982677548], [838.5442708548388], [0], [0], [0], [0]];[4.90000033,-2.39999975]
[4.69742191,-2.24535809];[-4.97303404e-04,-4.20212503e-04,-3.30603575e-01,9.43769488e-01];[[-2.39285232, -1.56291724], [-0.7530585, -3.86426002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.029065156423423787], [0.02998252225802466], [0], [0], [0], [0], [0], [0], [0], [0]];[-0.7530585,-3.86426002]
[-0.51313854,-3.81083349];[7.99699985e-05,1.31391484e-03,9.93720867e-01,-1.11879886e-01];[[7.95704412, -0.19515398], [-2.39999978, -1.29999971], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.9477624772555857], [0.5578955208524267], [0], [0], [0], [0], [0], [0], [0], [0]];[7.95704412,-0.19515398]
[7.72604677,-0.31021645];[-1.46335973e-03,3.38434704e-04,2.27789561e-01,9.73709226e-01];[[-2.39999978, -1.29999971], [-2.66161299, 0.43860081], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.6203129425953777], [0.5212718125395038], [0], [0], [0], [0], [0], [0], [0], [0]];[-2.39999978,-1.29999971]
[-2.37056291,-1.26547537];[7.94687602e-04,3.89615450e-04,9.85502899e-01,-1.69656305e-01];[[-3.84999985, -4.24999975], [-3.94999985, 0.65000032], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[29.91022987721022], [38.77133970507305], [0], [0], [0], [0], [0], [0], [0], [0]];[-3.94999985,0.65000032]
[-3.77495138,0.46488519];[-8.07428074e-04,2.44398746e-03,9.11897565e-01,4.10409796e-01];[[-4.81755968, 0.10098863], [-3.39999972, -1.89999972], [-3.79999972, -3.79999975], [-3.89999973, 2.50000035], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[28.12081069588354], [29.623634758288308], [27.701770056411846], [35.523940503348186], [0], [0], [0], [0], [0], [0]];[-3.89999973,2.50000035]
[-3.90406205,2.2418058];[7.08230299e-04,5.99516877e-04,6.91949422e-01,7.21945378e-01];[[-4.00695899, 0.10925763], [-3.39999972, -1.89999972], [-3.79999972, -3.79999975], [-6.89999977, 2.20000034], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[27.399594094232604], [26.84638196556402], [26.310917381831008], [26.84638196556403], [0], [0], [0], [0], [0], [0]];[-4.00695899,0.10925763]
[-3.96261185,0.36020948];[3.35449691e-04,5.21540953e-04,-7.80741225e-01,6.24854175e-01];[[-3.40000028, -1.89999972], [-3.80000028, -3.79999975], [-7.20000033, 2.30000034], [-7.60000034, 0.80000032], [-8.20000035, -1.09999971], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[29.03342867605694], [48.959879787831866], [31.625753172341323], [28.92511848005076], [26.909585048635357], [0], [0], [0], [0], [0]];[-3.80000028,-3.79999975]
[-3.7710064,-3.79512884];[-1.10649805e-03,-2.95161863e-04,-7.78546827e-01,6.27585493e-01];[[-8.00692194, -0.95161215], [7.0725379, 3.61940384], [-4.6000003, -3.29999974], [-7.20000033, 2.30000034], [-7.60000034, 0.80000032], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[25.652474868278194], [24.25143364763265], [39.01631092605067], [28.939693769563586], [27.047270227844614], [0], [0], [0], [0], [0]];[-4.6000003,-3.29999974]
[-4.37919492,-3.3824421];[7.34237047e-04,2.67922591e-03,9.89857544e-01,1.42036346e-01];[[-5.75000031, -3.49999974], [-8.0060119, -0.95219937], [-7.20000033, 2.30000034], [-7.60000034, 0.80000032], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [25.74139064443295], [29.49097417337667], [28.602290073768852], [0], [0], [0], [0], [0], [0]];[-7.20000033,2.30000034]
