[0.18161678,0.23518621];[-3.01937761e-04,6.65272844e-04,3.03120959e-01,9.52951806e-01];[[2.30530229, 0.4227351], [2.60000004, -1.49999993], [2.40000004, 3.20000014], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2.632005937842359], [2.632005937842359], [2.3713737056616555], [0], [0], [0], [0], [0], [0], [0]];[2.30530229,0.4227351]
[2.05879936,0.39315719];[-0.00110502,-0.00156549,0.05779576,0.99832659];[[3.13051707, -1.67053311], [4.25267336, 1.13201059], [1.31204771, 3.15375049], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[182.7704326514989], [181.78603680718624], [183.37720509372798], [0], [0], [0], [0], [0], [0], [0]];[1.31204771,3.15375049]
[1.38351315,2.91973181];[-8.39838870e-04,9.01601908e-05,7.93529721e-01,6.08530884e-01];[[5.55561614, 0.48852754], [-0.1086967, 0.96685502], [3.40839648, -2.192487], [2.09821415, 4.60447979], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[8.423369844955175], [105.02323592560954], [8.423369844955188], [9.347612447281271], [0], [0], [0], [0], [0], [0]];[-0.1086967,0.96685502]
[2.47981813,-1.43794104];[-0.00216672,0.00546668,-0.15353161,0.98812625];[[-1.25289214, -1.57702467], [6.3000001, -3.25000005], [0.40000001, -4.30000007], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[49.340364767462574], [10.545042883323458], [10.545042883323465], [0], [0], [0], [0], [0], [0], [0]];[-1.25289214,-1.57702467]
[-1.77047388,-1.48711942];[0.00788265,0.00111436,0.99975865,-0.02047595];[[-0.03350382, -3.92153808], [6.90000031, -3.60000006], [-2.45314634, 4.19347143], [-0.5999998, 5.00000007], [-4.19999986, -0.20000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.250102293936139], [0.23164844499536164], [0.24835188063573668], [0.24009245050912317], [0.2566372512512976], [0], [0], [0], [0], [0]];[-4.19999986,-0.20000001]
[-3.98250196,-0.32424078];[0.00587426,0.0050936,0.96722299,0.25380947];[[-3.80000013, 1.46666669], [-3.89826332, -3.63668362], [6.90000003, -3.60000006], [-0.25000008, -4.00000006], [-0.60000009, 5.00000007], [-2.51496315, 4.29758787], [-6.00000017, 2.80000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.2553082483996157], [0.24485789905047697], [0.7420082661730564], [0.2485430201495753], [0.2389524069481605], [0.24728274151070267], [0.24701678523734263], [0], [0], [0]];[6.90000003,-3.60000006]
[6.7388262,-3.514056];[7.04052530e-04,4.95137642e-03,-2.60625298e-01,9.65427076e-01];[[-3.95442517, -3.93457159], [-0.15000008, -3.94999987], [-4.00000014, 0.8000002], [-5.76571274, 0.10480405], [-6.10000017, 2.70000023], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[219.19566437243822], [286.5988619556079], [396.7282165406388], [304.4399052418105], [306.13382522407727], [0], [0], [0], [0], [0]];[-4.00000014,0.8000002]
[-3.78071689,0.71426931];[3.14420633e-03,-3.76221413e-04,9.81130635e-01,1.93320066e-01];[[-4.75417572, -4.3336593], [-1.08023255, -4.10234941], [-3.73673485, 0.10676868], [-5.73546886, 0.10560743], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[38.175422484625265], [38.194953145526505], [39.06261702931499], [39.085652756776504], [0], [0], [0], [0], [0], [0]];[-5.73546886,0.10560743]
[-5.51456811,0.18143446];[0.00307624,-0.00273859,0.9901035,-0.14027862];[[-4.09999991, -3.89999987], [-7.67499977, 1.72500022], [-0.99999986, -3.89999987], [-7.79999996, -2.39999985], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[38.159652568672705], [0.0], [48.22262655097027], [38.24434330641391], [0], [0], [0], [0], [0], [0]];[-0.99999986,-3.89999987]
[-1.16358682,-3.72284022];[-2.13971867e-05,3.98226124e-03,-4.60453822e-01,8.87674724e-01];[[-1.05000025, -4.19999987], [-4.1000003, -3.89999987], [-7.60000035, 2.30000023], [-7.70000035, -2.59999985], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[36.792305043309405], [42.51799668007602], [70.07482652459025], [57.53949094996204], [0], [0], [0], [0], [0], [0]];[-7.60000035,2.30000023]
[-7.80980959,2.42083457];[0.00787337,-0.00218825,0.89628479,0.44340364];[[-4.09999953, -3.89999987], [-7.07173312, -2.35332188], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.8034005510352693], [1.460269457037114], [0], [0], [0], [0], [0], [0], [0], [0]];[-7.07173312,-2.35332188]
