[0.1601078,0.21434713];[-2.02575538e-04,4.74979623e-04,2.87442195e-01,9.57797845e-01];[[2.90000004, -0.1], [2.00000003, 2.30000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[63.599013304941586], [61.82959690485641], [0], [0], [0], [0], [0], [0], [0], [0]];[2.90000004,-0.1]
[2.64714782,-0.0721574];[-7.07714683e-05,2.37144988e-05,-4.36764462e-02,9.99045721e-01];[[3.02074551, -1.33328345], [3.50000005, 4.40000033], [1.20000002, 2.90000031], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[94.48267088890783], [86.60343022467295], [86.2947602139845], [0], [0], [0], [0], [0], [0], [0]];[3.02074551,-1.33328345]
[2.92373657,-1.10062447];[-5.34462458e-04,-3.25405844e-04,-5.69475390e-01,8.22008142e-01];[[2.53004163, -3.03936604], [1.52871715, 3.55608756], [5.60000008, -2.39999986], [4.80000007, -0.59999983], [3.50000005, 4.40000024], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[53.75255627580883], [48.786027029559236], [54.15187386259648], [53.86645322892581], [48.791219521019116], [0], [0], [0], [0], [0]];[5.60000008,-2.39999986]
[5.3909539,-2.29597232];[3.16412926e-04,7.25897857e-04,-2.52890716e-01,9.67494528e-01];[[0.89637153, 2.34182142], [3.50000005, 4.39999997], [1.90000003, -3.20000014], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.9887808751174841], [0.987889013711802], [5.361029750467416], [0], [0], [0], [0], [0], [0], [0]];[1.90000003,-3.20000014]
[2.13124291,-3.13108466];[-1.45294152e-03,-5.74067421e-04,9.89198809e-01,-1.46571701e-01];[[1.65607709, 4.20940185], [3.50000004, 4.40000007], [1.0, 2.50000004], [-0.30475879, 0.06179943], [-1.10000003, -3.30000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[13.066778053671289], [13.066778053671321], [13.0667780536713], [38.554539713566804], [0.0], [0], [0], [0], [0], [0]];[-0.30475879,0.06179943]
[-0.3539596,0.18033526];[2.22325934e-03,-9.27954686e-04,9.36844549e-01,3.49737736e-01];[[-1.20000007, 3.85000006], [-2.50000008, -0.35], [-2.50000008, -2.20000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2.458334670739424], [5.813822904342349], [2.473545035741812], [0], [0], [0], [0], [0], [0], [0]];[-2.50000008,-0.35]
[-2.26320188,-0.29395837];[5.66273664e-04,-2.33781073e-03,9.92979244e-01,-1.18264266e-01];[[-2.26922143, -2.11374426], [-3.74999976, -0.1], [-1.99999973, 5.20000008], [-3.99999976, -4.20000006], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[3.4473259249108748], [1.5027242175532065], [1.447580391751434], [1.4457637566180943], [0], [0], [0], [0], [0], [0]];[-2.26922143,-2.11374426]
[-2.26610966,-1.88347762];[0.00161123,-0.00141219,-0.7070423,0.70716801];[[-4.62707382, 0.10169572], [-3.99999976, -4.20000006], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.3984692534811798], [1.865013391679578], [0], [0], [0], [0], [0], [0], [0], [0]];[-3.99999976,-4.20000006]
[-3.84404264,-3.98280435];[-7.23922654e-05,2.04194766e-03,8.86229536e-01,-4.63241888e-01];[[-5.14999967, -4.20000006], [-4.39999966, 0.10000001], [7.4506917, 0.30664212], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.4228306065603495], [2.2126657232866256], [6.626888434116753], [0], [0], [0], [0], [0], [0], [0]];[7.4506917,0.30664212]
[-4.37974201,0.21816258];[-0.00640286,0.00163627,0.81331434,0.58178699];[[-5.38499307, -0.00742388], [-6.30000034, -3.20000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.2833326175661073], [1.5046053274187976], [0], [0], [0], [0], [0], [0], [0], [0]];[-6.30000034,-3.20000004]
[-6.31479205,-3.29067921];[6.82436727e-05,6.59799509e-03,9.16543910e-01,-3.99879622e-01];[[-4.86666697, 0.63333335], [-7.90000035, -1.56666669], [-6.00000032, -2.80000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.054900045672617], [1.1132433082282274], [1.3697520505909822], [0], [0], [0], [0], [0], [0], [0]];[-6.00000032,-2.80000004]
