[0.1637348,0.21426894];[-5.61366079e-04,2.43503254e-04,2.87612351e-01,9.57746705e-01];[[2.44235593, -0.26424205], [1.59762787, 1.70077649], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[118.61550020067706], [119.66405639687844], [0], [0], [0], [0], [0], [0], [0], [0]];[1.59762787,1.70077649]
[1.39722141,1.51856512];[7.79774923e-04,3.57106704e-03,3.64215727e-01,9.31307439e-01];[[2.74040762, -0.92720907], [0.64840671, 2.37017093], [1.01312268, -0.90119743], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[19.0041355632776], [19.399045443105937], [556.7632438656591], [0], [0], [0], [0], [0], [0], [0]];[1.01312268,-0.90119743]
[1.05312415,-0.64448345];[0.00138893,0.00085908,-0.75662268,0.65384971];[[2.40778762, -1.48131103], [5.00472641, 5.12066841], [-0.00075133, 0.44692221], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[6.25156156068655], [4.093466255074892], [6.251561560686549], [0], [0], [0], [0], [0], [0], [0]];[2.40778762,-1.48131103]
[2.23723246,-1.29991215];[9.50951312e-04,1.43127087e-03,-3.07596475e-01,9.51515347e-01];[[4.27327199, -1.65537219], [1.19614017, 3.94464254], [0.30000009, -4.49999979], [5.30800104, 0.25089401], [-0.69999992, -0.69999973], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9.146538261121592], [8.355540190392054], [8.355540190392054], [8.355540190392054], [9.146538261121592], [0], [0], [0], [0], [0]];[4.27327199,-1.65537219]
[4.02049783,-1.6088741];[1.47277546e-04,1.66764516e-03,-9.41721796e-02,9.95554520e-01];[[4.55775747, -2.15228329], [0.30000009, -4.49999979], [-0.69999992, -0.69999973], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[11.853845580090201], [10.866038256546187], [72.21517419278065], [0], [0], [0], [0], [0], [0], [0]];[-0.69999992,-0.69999973]
[-1.14661854,-0.35984292];[-2.12817388e-04,-4.42278659e-04,9.74342975e-01,2.25067845e-01];[[-4.06666651, 1.16666697], [-0.13489455, 3.25188882], [-1.59999981, -3.74999977], [7.70000033, 1.70000031], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2.4590802954958764], [2.467908727337969], [2.4669842234944848], [7.461272610598929], [0], [0], [0], [0], [0], [0]];[7.70000033,1.70000031]
[7.94445616,1.82651834];[9.83783942e-04,-3.28699236e-03,5.77196496e-03,9.99977462e-01];[[-1.17228834, -3.92059098], [-3.69999975, 1.90000032], [-4.09999975, 0.20000029], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[20.42409751749811], [18.70468761722425], [27.416217149446908], [0], [0], [0], [0], [0], [0], [0]];[-4.09999975,0.20000029]
[-3.84261299,0.2245143];[2.97168998e-03,-7.57174757e-04,9.99475155e-01,-3.22491321e-02];[[-2.00096976, -3.45027505], [-4.78297641, 0.10361603], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.193213962591], [59.93822643919164], [0], [0], [0], [0], [0], [0], [0], [0]];[-4.78297641,0.10361603]
[-5.03973376,0.03563627];[-7.42346194e-05,-1.08536055e-03,9.99695851e-01,2.46377943e-02];[[-1.83333283, -3.5333331], [-6.59999956, 1.90000032], [-8.29999959, -0.49999972], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[439.1918096040913], [175.67389768053962], [175.8052726420727], [0], [0], [0], [0], [0], [0], [0]];[-1.83333283,-3.5333331]
[7.84223159,-0.82159625];[-0.0025933,-0.0047346,0.64751008,0.76203776];[[-2.25276087, -4.15511329], [-4.86669327, -2.6648252], [-7.89999977, -2.49999974], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[27.530295194815245], [57.82017109989334], [60.38159039871593], [0], [0], [0], [0], [0], [0], [0]];[-7.89999977,-2.49999974]
