[0.18074651,0.23558868];[-4.76351888e-04,2.94668035e-04,3.03420633e-01,9.52856550e-01];[[3.40000005, 1.10000001], [2.40000004, -1.40000002], [2.20000003, 2.30000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[186.9026584785483], [181.08976394893648], [192.40680880049342], [0], [0], [0], [0], [0], [0], [0]];[2.20000003,2.30000003]
[2.03107758,2.12658181];[-4.65197150e-04,-2.00614399e-04,3.85779994e-01,9.22590665e-01];[[3.50200088, -1.51993309], [4.30783887, 1.41845708], [0.50000001, 2.20000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[20.93974087270298], [23.66911988307326], [23.60372133142093], [0], [0], [0], [0], [0], [0], [0]];[4.30783887,1.41845708]
[4.05564476,1.4909575];[9.86866507e-04,6.45065562e-04,-1.48037682e-01,9.88981014e-01];[[3.94875902, -1.27070713], [7.90000012, 2.00000003], [0.50000001, 2.20000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2.5489503909788658], [2.3093914489946754], [28.490706695794653], [0], [0], [0], [0], [0], [0], [0]];[0.50000001,2.20000003]
[0.74667553,2.15381733];[2.27145233e-06,2.66378015e-03,9.95060538e-01,9.92342357e-02];[[4.2522052, -2.90568886], [8.60000022, 1.9000003], [-0.49999991, 4.80000034], [-0.79999992, -1.99999976], [-1.79999993, -0.69999974], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[306.26992842267384], [305.16890576617004], [324.56395234818456], [915.3708239390742], [324.8778044981115], [0], [0], [0], [0], [0]];[-0.79999992,-1.99999976]
[-0.43738477,-3.35996145];[-0.01237823,0.00144041,0.17967228,0.98364758];[[4.24584416, -2.75638427], [-0.09645369, -4.13442176], [8.60000033, 1.90000031], [-0.59999981, 5.00000035], [-3.79999986, -0.49999973], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[388.86005790940027], [407.5411556924431], [353.82848204079124], [351.8908074238267], [387.8956373217756], [0], [0], [0], [0], [0]];[-0.09645369,-4.13442176]
[-0.23115058,-3.93515478];[-0.01009492,-0.00682915,-0.43308474,0.9012708];[[3.74871193, -2.60267493], [8.60000033, 1.90000021], [1.10000021, -4.19999988], [-0.59999981, 5.00000026], [-3.79999986, -0.49999982], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[385.9919926888519], [353.8284820407919], [407.35348070347646], [529.0304335889464], [388.02134047041795], [0], [0], [0], [0], [0]];[-0.59999981,5.00000026]
[-0.63047744,5.06402296];[0.00082828,-0.00253409,0.63316297,0.77401391];[[1.70000022, -4.09999978], [-3.35051167, 0.00445083], [-3.69999986, 2.40000032], [8.60000033, 1.90000031], [4.70000027, -3.39999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[486.97908704203263], [516.8752013551606], [491.22993942158], [480.6100938323808], [1137.7174932027833], [0], [0], [0], [0], [0]];[4.70000027,-3.39999977]
[4.55895427,-3.19399253];[-0.00113269,-0.00185802,-0.47598094,0.8794529];[[-3.69999986, 2.40000023], [-4.32209385, -0.19350184], [8.60000033, 1.90000023], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[728.1893863304252], [967.145130830638], [624.5582170240308], [0], [0], [0], [0], [0], [0], [0]];[-4.32209385,-0.19350184]
[-4.08867097,-0.24389499];[0.0045522,0.00215829,0.99793151,0.06408835];[[8.60000015, 2.10000023], [-3.70000004, 2.90000024], [-3.90000004, 0.2000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[814.963505730988], [786.1486488699042], [803.667362823157], [0], [0], [0], [0], [0], [0], [0]];[8.60000015,2.10000023]
[8.35712126,2.08707741];[-4.36357562e-04,-3.68995179e-03,-8.74081186e-03,9.99954901e-01];[[-8.34815272, -1.35589214], [-6.99999976, 2.20000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[35.91868116444808], [24.787830509660576], [0], [0], [0], [0], [0], [0], [0], [0]];[-8.34815272,-1.35589214]
