[0.33060962,0.18368764];[-9.33210178e-04,-5.66544552e-04,1.13669189e-01,9.93518057e-01];[[3.22862827, 1.89309106], [1.78868386, 0.5279024], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.754909970957442], [11.858501148676702], [0], [0], [0], [0], [0], [0], [0], [0]];[1.78868386,0.5279024]
[1.54397219,0.4668853];[-0.00238912,-0.00232317,0.12231356,0.99248591];[[3.25510068, 0.85432221], [2.51461739, -1.25654286], [1.19274984, 2.84299168], [0.19537714, -0.20241109], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[29.6809488033744], [29.52148127980889], [29.724787875184077], [1687.9426046771885], [0], [0], [0], [0], [0], [0]];[0.19537714,-0.20241109]
[0.2590898,-0.20571039];[-0.0020653,0.00123588,0.99433991,-0.10621845];[[0.75446643, -0.40612612], [3.66061687, -1.08603323], [-1.99999999, 5.10000007], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[61.43760872234645], [56.981735928222655], [52.555847760055904], [0], [0], [0], [0], [0], [0], [0]];[0.75446643,-0.40612612]
[1.02179526,-0.44598768];[-9.21356206e-04,-1.14933384e-03,-2.66666072e-01,9.63787852e-01];[[1.90960927, -0.95198035], [4.00235176, -1.54961348], [-1.99999999, 5.10000007], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [49.0475952110751], [45.86612884806421], [0], [0], [0], [0], [0], [0], [0]];[4.00235176,-1.54961348]
[3.84428465,-1.44983661];[-0.00141088,-0.00199798,-0.29255674,0.95624504];[[-1.66560428, -1.24471762], [1.36666678, -4.13333325], [5.57500018, -3.2999999], [-1.83383151, 5.21068006], [4.90000017, -6.04999994], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[320.4372880427047], [25.682435321044196], [27.07516879188979], [24.444327065599747], [23.335261325782593], [0], [0], [0], [0], [0]];[-1.66560428,-1.24471762]
[-1.62838941,-1.28108572];[-0.00149474,0.00144958,0.99283217,0.11949875];[[1.57093577, -4.1428854], [-1.60106892, -3.40159282], [7.00908753, -3.03799276], [-3.96666671, 0.43333363], [-4.29355326, -3.06887162], [8.50000014, 0.9000003], [5.1085043, 5.70001364], [-2.00000002, 5.10000036], [0.0, 0.0], [0.0, 0.0]];[[14.115572660831935], [14.717672076105769], [13.03351744727296], [14.717672076105769], [14.115572660831928], [29.718959107288132], [12.546321214220196], [13.555465098904723], [0], [0]];[8.50000014,0.9000003]
[8.5424603,0.88265626];[-8.79298751e-04,-2.58817115e-03,2.26927453e-01,9.73907830e-01];[[1.69795334, -4.27410807], [-3.89999976, 0.7500003], [8.30000042, 2.30000032], [-2.09999974, -3.69999977], [-4.19999977, -3.19999976], [-5.7978363, 0.0032182429], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[25.734462918789898], [59.56476928431764], [27.770575016397196], [24.805211285542914], [47.47671534649398], [23.92924782448531], [0], [0], [0], [0]];[-3.89999976,0.7500003]
[-3.84826692,0.71591545];[-1.25929868e-05,9.56768790e-04,9.93391703e-01,1.14769330e-01];[[-4.27016724, -3.60427889], [1.34999977, -4.50000016], [-0.90000026, -3.25000014], [-2.10000028, 5.29999999], [-4.40000031, 0.19999991], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[5.72140931985807], [4.335075709254514], [6.946015396803273], [4.365515661560411], [4.605563654949335], [0], [0], [0], [0], [0]];[-0.90000026,-3.25000014]
[-1.31798673,-2.84415464];[-8.61967073e-04,-3.89024270e-04,-3.63655617e-01,9.31532984e-01];[[-4.47358478, -3.80620224], [-7.66666701, 1.73333327], [-8.10000035, -0.56666677], [-3.40000028, 2.49999994], [-4.90000031, 0.09999991], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[98.27134061552259], [67.82047745989786], [109.94632281363461], [51.2167960000205], [48.3402164624623], [0], [0], [0], [0], [0]];[-8.10000035,-0.56666677]
[-7.8548805,-0.61704186];[3.69424430e-03,8.64703621e-04,9.97746282e-01,6.69921703e-02];[[-2.0999995, 5.39999999], [-4.09999953, -3.80000015], [-8.29999959, -2.10000012], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2.6362403018366707], [2.700462716438092], [1.7465659931687973], [0], [0], [0], [0], [0], [0], [0]];[-4.09999953,-3.80000015]
[-2.11916083,5.15231524];[0.01119652,-0.00591183,0.69974358,0.71428187];[[8.76171303, 3.4115293], [5.00309467, 5.82240248], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.9871480581859504], [0.9890376250312736], [0], [0], [0], [0], [0], [0], [0], [0]];[5.00309467,5.82240248]
